complex,orig_param_value,adjustment,param_value,orig_ATP,ATP,sof
Complex III,0.091737,0,0,1.6140835007163e-4,1.557573951104e-4,0.035010301255927634
Complex III,0.091737,0.05,0.00458685,1.6140835007163e-4,1.5652513939418e-4,0.03184607093409795
Complex III,0.091737,0.1,0.0091737,1.6140835007163e-4,1.5585918641671e-4,0.038199618493215
Complex III,0.091737,0.15,0.01376055,1.6140835007163e-4,1.6269705761814e-4,-0.009393110855993795
Complex III,0.091737,0.2,0.0183474,1.6140835007163e-4,1.7192946946048e-4,-0.08147905130203091
Complex III,0.091737,0.25,0.02293425,1.6140835007163e-4,1.5463909535835e-4,0.055918252971637404
Complex III,0.091737,0.3,0.0275211,1.6140835007163e-4,1.5661277164786e-4,0.042444063870494854
Complex III,0.091737,0.35,0.03210795,1.6140835007163e-4,1.5614747212342e-4,0.050143988079115596
Complex III,0.091737,0.4,0.0366948,1.6140835007163e-4,1.578894776059e-4,0.036335093198590046
Complex III,0.091737,0.45,0.04128165,1.6140835007163e-4,1.632039919649e-4,-0.02022697983629865
Complex III,0.091737,0.5,0.0458685,1.6140835007163e-4,1.560656582179e-4,0.0662009350985749
Complex IV,3.2562e-5,0,0,1.6140835007163e-4,1.92318601801593e-5,0.8808496575819988
Complex IV,3.2562e-5,0.05,1.6281e-6,1.6140835007163e-4,3.69300177876738e-5,0.8117908608733526
Complex IV,3.2562e-5,0.1,3.2562e-6,1.6140835007163e-4,3.5130931773071e-5,0.869274994086045
Complex IV,3.2562e-5,0.15,4.8843e-6,1.6140835007163e-4,2.80457245891094e-5,0.972051361533627
Complex IV,3.2562e-5,0.2,6.5124e-6,1.6140835007163e-4,2.70333017383297e-5,1.0406451112478627
Complex IV,3.2562e-5,0.25,8.1405e-6,1.6140835007163e-4,2.52202097818838e-5,1.1249987189164086
Complex IV,3.2562e-5,0.3,9.7686e-6,1.6140835007163e-4,2.27976784117059e-5,1.2267967867869758
Complex IV,3.2562e-5,0.35,1.13967e-5,1.6140835007163e-4,1.4860190851659e-4,0.1220644270772928
Complex IV,3.2562e-5,0.4,1.30248e-5,1.6140835007163e-4,1.88843306947893e-5,1.4716712746850993
Complex IV,3.2562e-5,0.45,1.46529e-5,1.6140835007163e-4,2.30583904088863e-5,1.5584409424503594
Complex IV,3.2562e-5,0.5,1.6281e-5,1.6140835007163e-4,2.98394325268666e-5,1.6302616002998058
Complex V,150.93,0,0,1.6140835007163e-4,1.94833508402514e-5,0.8792915556623616
Complex V,150.93,0.05,7.5465,1.6140835007163e-4,2.00272246642693e-5,0.9220231617810447
Complex V,150.93,0.1,15.093,1.6140835007163e-4,3.7736008337322e-5,0.8513420338981121
Complex V,150.93,0.15,22.6395,1.6140835007163e-4,3.39565371917292e-5,0.9289687256200161
Complex V,150.93,0.2,30.186,1.6140835007163e-4,2.02423180209177e-5,1.0932367500509228
Complex V,150.93,0.25,37.7325,1.6140835007163e-4,1.55827640243382e-5,1.2046100133198572
Complex V,150.93,0.3,45.279,1.6140835007163e-4,1.62077642495439e-5,1.2851219173308726
Complex V,150.93,0.35,52.8255,1.6140835007163e-4,2.3094662013868e-5,1.3183350751383154
Complex V,150.93,0.4,60.372,1.6140835007163e-4,2.79790135429203e-5,1.3777616055746833
Complex V,150.93,0.45,67.9185,1.6140835007163e-4,2.49729730839798e-5,1.5368741560498036
Complex V,150.93,0.5,75.465,1.6140835007163e-4,2.06735020414153e-5,1.7438360279100704
Complex I,0.36923,0,0,1.6140835007163e-4,3.57502901120755e-5,0.7785102809352168
Complex I,0.36923,0.05,0.0184615,1.6140835007163e-4,1.2912832968197e-4,0.21051555769042815
Complex I,0.36923,0.1,0.036923,1.6140835007163e-4,1.4317088147467e-4,0.12554402537185658
Complex I,0.36923,0.15,0.0553845,1.6140835007163e-4,1.4815549125152e-4,0.09659722439994496
Complex I,0.36923,0.2,0.073846,1.6140835007163e-4,1.5217982451416e-4,0.07146877433365871
Complex I,0.36923,0.25,0.0923075,1.6140835007163e-4,1.5237942652113e-4,0.07458452260157242
Complex I,0.36923,0.3,0.110769,1.6140835007163e-4,1.5207400257124e-4,0.08261519393201514
Complex I,0.36923,0.35,0.1292305,1.6140835007163e-4,1.5430764726659e-4,0.06768025419225257
Complex I,0.36923,0.4,0.147692,1.6140835007163e-4,1.5254823792475e-4,0.09148754430350173
Complex I,0.36923,0.45,0.1661535,1.6140835007163e-4,1.5148675458848e-4,0.1117616561151435
Complex I,0.36923,0.5,0.184615,1.6140835007163e-4,1.5854042496761e-4,0.035536266900036834
