time,ATP
0,0
9.88731394267737e-08,1.3593344159552e-06
1.07771721975183e-07,1.4815246244416e-06
1.16670304523593e-07,1.60363669135922e-06
1.25568887072003e-07,1.72568184478321e-06
1.3149690323794e-07,1.80695408281909e-06
1.37424919403877e-07,1.88819717957467e-06
1.4131184104122e-07,1.94145378846781e-06
1.45198762678563e-07,1.99469787564563e-06
1.49085684315906e-07,2.0479295824292e-06
1.50743385006969e-07,2.07062916272188e-06
1.52401085698032e-07,2.09332699474294e-06
1.54058786389096e-07,2.11602272982864e-06
1.55716487080159e-07,2.13871624350259e-06
1.62714477828822e-07,2.23447921074643e-06
1.69712468577485e-07,2.33020251958034e-06
1.76710459326149e-07,2.42588589261336e-06
1.99135547896264e-07,2.73225864729333e-06
2.21560636466379e-07,3.03823348028383e-06
2.43985725036494e-07,3.34380234273252e-06
2.66410813606609e-07,3.64896269319837e-06
3.12647403776984e-07,4.27686172486262e-06
3.58883993947359e-07,4.90302644170158e-06
4.05120584117734e-07,5.52746187107263e-06
4.51357174288109e-07,6.15017321760373e-06
4.97593764458484e-07,6.771164949874e-06
5.64618398960261e-07,7.66831079085229e-06
6.31643033462038e-07,8.5618645072899e-06
6.98667667963816e-07,9.45183894000032e-06
7.65692302465593e-07,1.03382469765762e-05
8.3271693696737e-07,1.12211014715593e-05
9.02080602259131e-07,1.21310377931361e-05
9.71444267550891e-07,1.30371960412927e-05
1.04080793284265e-06,1.39395902803659e-05
1.11017159813441e-06,1.48382345246099e-05
1.17953526342617e-06,1.57331427380957e-05
1.29275055143368e-06,1.7185821441544e-05
1.40596583944119e-06,1.8628644330413e-05
1.5191811274487e-06,2.00616712618152e-05
1.63239641545621e-06,2.14849617212697e-05
1.74561170346373e-06,2.28985748343148e-05
1.99146385372603e-06,2.59352556225815e-05
2.23731600398833e-06,2.89271743582558e-05
2.48316815425064e-06,3.18749198584493e-05
2.72902030451294e-06,3.47790729808565e-05
2.97487245477525e-06,3.76402069265939e-05
3.47955056656131e-06,4.33810421565993e-05
3.98422867834737e-06,4.89477708261885e-05
4.48890679013343e-06,5.43450707209025e-05
4.99358490191949e-06,5.95774905766719e-05
5.49826301370555e-06,6.46494569013898e-05
6.82678126756533e-06,7.72648573562875e-05
8.15529952142512e-06,8.88726289827827e-05
9.48381777528491e-06,9.9542911920973e-05
1.08123360291447e-05,0.000109340823882788
1.21408542830045e-05,0.000118326937665861
1.61119667558821e-05,0.000140867064923504
1.73033004977454e-05,0.000146521582941359
1.84946342396087e-05,0.000151717701316843
1.9685967981472e-05,0.000156483521958601
2.0043368104031e-05,0.000157833570818535
2.040076822659e-05,0.000159148147641667
2.06795158182553e-05,0.000160149246714531
2.07631400957549e-05,0.000160445497201735
2.08467643732544e-05,0.000160739879974662
2.0930388650754e-05,0.000161032403828687
2.09554759340039e-05,0.00016111979980791
2.09805632172538e-05,0.000161207029500232
2.10056505005037e-05,0.00016129409313156
2.10131766854786e-05,0.000161320179872945
2.10207028704536e-05,0.000161346251695532
2.10282290554286e-05,0.000161372308605545
2.1030486910921e-05,0.000161380122771525
2.10327447664135e-05,0.000161387935596096
2.1035002621906e-05,0.000161395747079425
2.10356799785538e-05,0.000161398090262907
2.10363573352015e-05,0.000161400433325696
2.10370346918493e-05,0.000161402776267798
2.1037712048497e-05,0.000161405119089216
2.10379152554913e-05,0.000161405821912109
2.10381184624857e-05,0.000161406524724141
2.103832166948e-05,0.000161407227525312
2.10383826315783e-05,0.000161407438363546
2.10384435936766e-05,0.000161407649200802
2.10385045557749e-05,0.00016140786003708
2.10385655178732e-05,0.000161408070872382
2.10385838065027e-05,0.000161408134122781
2.10386020951322e-05,0.000161408197373093
2.10386203837616e-05,0.000161408260623317
2.10386258703505e-05,0.000161408279598367
2.10386313569393e-05,0.000161408298573409
2.10386368435282e-05,0.000161408317548443
2.1038642330117e-05,0.000161408336523469
2.10386439760937e-05,0.000161408342215976
2.10386444698867e-05,0.000161408343923727
2.10386449636797e-05,0.000161408345631479
2.10386454574727e-05,0.000161408347339231
2.10386459512657e-05,0.000161408349046982
2.10386460994036e-05,0.000161408349559308
2.10386462475415e-05,0.000161408350071633
